GeoFips,GeoName,2008,2009,2010,2011,2012
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",1912349,1939407,1953106,1966586,1997659
,,,,,,
29940,"Lawrence, KS (Metropolitan Statistical Area)",109010,110039,111274,112372,113043
,,,,,,
30020,"Lawton, OK (Metropolitan Statistical Area)",124166,126131,131634,132230,132700
,,,,,,
30140,"Lebanon, PA (Metropolitan Statistical Area)",131574,132959,133739,134465,135406
,,,,,,
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",60203,60464,61012,61341,61457
,,,,,,
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",108284,107830,107672,107431,107632
,,,,,,
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",460112,467328,473435,478672,484629
,,,,,,
30620,"Lima, OH (Metropolitan Statistical Area)",106773,106518,106372,105957,105329
,,,,,,
30700,"Lincoln, NE (Metropolitan Statistical Area)",296258,299633,302916,306443,310365
,,,,,,
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",681888,691903,702230,710870,717844
,,,,,,
30860,"Logan, UT-ID (Metropolitan Statistical Area)",119394,123048,126052,127511,128534
,,,,,,
30980,"Longview, TX (Metropolitan Statistical Area)",210058,213121,214715,215908,216759
,,,,,,
31020,"Longview, WA (Metropolitan Statistical Area)",101688,102126,102399,102339,101827
,,,,,,
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",12692740,12774577,12844070,12939133,13037045
,,,,,,
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",1216853,1227965,1237851,1244781,1251538
,,,,,,
31180,"Lubbock, TX (Metropolitan Statistical Area)",280321,286236,292172,295329,297877
,,,,,,
31340,"Lynchburg, VA (Metropolitan Statistical Area)",249299,251441,252655,253931,255309
,,,,,,
31420,"Macon, GA (Metropolitan Statistical Area)",231314,232065,232299,232743,232650
,,,,,,
31460,"Madera, CA (Metropolitan Statistical Area)",148359,149234,151178,152141,152235
,,,,,,
31540,"Madison, WI (Metropolitan Statistical Area)",594452,601715,606418,613793,620740
,,,,,,
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",399556,400148,400999,401871,403081
,,,,,,
31740,"Manhattan, KS (Metropolitan Statistical Area)",90328,91201,93276,95298,98399
,,,,,,
