GeoFips,GeoName,2001,2002,2003,2004,2005
24860,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",735668,741131,747276,754196,763048
,,,,,,
25060,"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",368163,370891,371296,379253,383412
,,,,,,
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",211521,215706,221396,227681,234198
,,,,,,
25220,"Hammond, LA (Metropolitan Statistical Area)",101657,102511,103782,105335,106987
,,,,,,
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",132881,135369,139393,143601,145147
,,,,,,
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",511391,515553,519152,521882,525775
,,,,,,
25500,"Harrisonburg, VA (Metropolitan Statistical Area)",110317,112152,113151,114542,116602
,,,,,,
25540,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",1158513,1169000,1179394,1182605,1187929
,,,,,,
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",125102,126193,127371,128966,130815
,,,,,,
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",346952,348299,349472,351224,354159
,,,,,,
25940,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",146574,150392,152234,157787,163343
,,,,,,
25980,"Hinesville, GA (Metropolitan Statistical Area)",71939,73399,71252,74609,76395
,,,,,,
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",121197,123491,126215,129840,133791
,,,,,,
26300,"Hot Springs, AR (Metropolitan Statistical Area)",89032,89630,90483,91084,92096
,,,,,,
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",195360,196692,198156,199363,200467
,,,,,,
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",4817815,4937081,5036393,5132602,5233729
,,,,,,
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",360868,360609,361922,361774,361864
,,,,,,
26620,"Huntsville, AL (Metropolitan Statistical Area)",348453,354116,359920,365248,372777
,,,,,,
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",106082,107768,109937,113168,116208
,,,,,,
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",1687209,1708018,1729297,1750639,1772959
,,,,,,
26980,"Iowa City, IA (Metropolitan Statistical Area)",134610,136056,137863,140149,141650
,,,,,,
27060,"Ithaca, NY (Metropolitan Statistical Area)",97458,98227,99049,99531,99433
,,,,,,
27100,"Jackson, MI (Metropolitan Statistical Area)",159772,160893,162119,162140,163047
,,,,,,
27140,"Jackson, MS (Metropolitan Statistical Area)",528292,530930,535600,542144,547444
,,,,,,
27180,"Jackson, TN (Metropolitan Statistical Area)",123387,123890,123886,125351,126192
,,,,,,
27260,"Jacksonville, FL (Metropolitan Statistical Area)",1148091,1171363,1193042,1222866,1249072
,,,,,,
27340,"Jacksonville, NC (Metropolitan Statistical Area)",151068,153397,150481,158837,157205
,,,,,,
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",153174,153628,154268,155685,156761
,,,,,,
27620,"Jefferson City, MO (Metropolitan Statistical Area)",140991,142190,143171,142637,144450
,,,,,,
27740,"Johnson City, TN (Metropolitan Statistical Area)",182187,183973,186040,187317,189182
,,,,,,
27780,"Johnstown, PA (Metropolitan Statistical Area)",150902,149831,148836,147886,146975
,,,,,,
27860,"Jonesboro, AR (Metropolitan Statistical Area)",108774,109191,110177,111370,112570
,,,,,,
27900,"Joplin, MO (Metropolitan Statistical Area)",158567,160092,162037,163997,166160
,,,,,,
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",132428,134583,137596,140625,143448
,,,,,,
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",316512,318714,320856,319746,320268
,,,,,,
28100,"Kankakee, IL (Metropolitan Statistical Area)",104490,104932,105794,106744,107917
,,,,,,
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",1837551,1858778,1875142,1892097,1909428
,,,,,,
